"Date_Check","Time5","Time6","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2017-09-01 00:00:00,2017-09-01 00:20:40,NA,63.819,60.818,-0.0106,89.7,1.2,"HH115"
2017-09-01 01:00:00,2017-09-01 01:20:40,NA,63.648,58.626,-0.0106,91.7,1.2,"HH115"
2017-09-01 02:00:00,2017-09-01 02:20:40,NA,63.475,57.722,-0.0106,93.5,1.2,"HH115"
2017-09-01 03:00:00,2017-09-01 03:20:40,NA,63.304,59.916,-0.0106,84.9,1.2,"HH115"
2017-09-01 04:00:00,2017-09-01 04:20:40,NA,63.09,59.272,-0.0106,81.5,1.2,"HH115"
2017-09-01 05:00:00,2017-09-01 05:20:40,NA,62.919,58.368,-0.0106,81.3,1.2,"HH115"
2017-09-01 06:00:00,2017-09-01 06:20:40,NA,62.748,57.592,-0.0106,79.2,1.2,"HH115"
2017-09-01 07:00:00,2017-09-01 07:20:40,NA,62.533,56.512,-0.0098,78.6,1.2,"HH115"
2017-09-01 08:00:00,2017-09-01 08:20:40,NA,62.276,57.893,-0.0098,80.8,6.2,"HH115"
2017-09-01 09:00:00,2017-09-01 09:20:40,NA,62.062,59.916,-0.0098,73.5,16.2,"HH115"
2017-09-01 10:00:00,2017-09-01 10:20:40,NA,61.977,61.633,-0.0098,64.5,26.2,"HH115"
2017-09-01 11:00:00,2017-09-01 11:20:40,NA,61.934,64.204,-0.0091,59.2,43.7,"HH115"
2017-09-01 12:00:00,2017-09-01 12:20:40,NA,62.019,65.316,-0.0106,57.1,86.2,"HH115"
2017-09-01 13:00:00,2017-09-01 13:20:40,NA,62.233,66.258,-0.0098,59.3,28.7,"HH115"
2017-09-01 14:00:00,2017-09-01 14:20:40,NA,62.577,67.242,-0.0098,56.3,28.7,"HH115"
2017-09-01 15:00:00,2017-09-01 15:20:40,NA,62.791,67.158,-0.0098,53.4,23.7,"HH115"
2017-09-01 16:00:00,2017-09-01 16:20:40,NA,62.919,65.745,-0.0106,54.7,26.2,"HH115"
2017-09-01 17:00:00,2017-09-01 17:20:40,NA,63.005,64.76,-0.0106,58.3,31.2,"HH115"
2017-09-01 18:00:00,2017-09-01 18:20:40,NA,63.005,63.475,-0.0106,63.5,3.7,"HH115"
2017-09-01 19:00:00,2017-09-01 19:20:40,NA,62.962,62.233,-0.0106,67.4,1.2,"HH115"
2017-09-01 20:00:00,2017-09-01 20:20:40,NA,62.834,60.132,-0.0098,71.1,1.2,"HH115"
2017-09-01 21:00:00,2017-09-01 21:20:40,NA,62.704,57.506,-0.0106,76.6,1.2,"HH115"
2017-09-01 22:00:00,2017-09-01 22:20:40,NA,62.49,54.909,-0.0106,82.6,1.2,"HH115"
2017-09-01 23:00:00,2017-09-01 23:20:40,NA,62.276,54.473,-0.0106,86.5,1.2,"HH115"
2017-09-02 00:00:00,2017-09-02 00:20:40,NA,61.977,52.335,-0.0106,89.4,1.2,"HH115"
2017-09-02 01:00:00,2017-09-02 01:20:40,NA,61.677,50.841,-0.0106,91.3,1.2,"HH115"
2017-09-02 02:00:00,2017-09-02 02:20:40,NA,61.376,49.428,-0.0106,92.7,1.2,"HH115"
2017-09-02 03:00:00,2017-09-02 03:20:40,NA,61.075,49.073,-0.0098,94.3,1.2,"HH115"
2017-09-02 04:00:00,2017-09-02 04:20:40,NA,60.733,48.182,-0.0098,93.9,1.2,"HH115"
2017-09-02 05:00:00,2017-09-02 05:20:40,NA,60.39,46.391,-0.0106,94.4,1.2,"HH115"
2017-09-02 06:00:00,2017-09-02 06:20:40,NA,60.046,46.031,-0.0098,94.7,1.2,"HH115"
2017-09-02 07:00:00,2017-09-02 07:20:40,NA,59.702,46.301,-0.0106,95,1.2,"HH115"
2017-09-02 08:00:00,2017-09-02 08:20:40,NA,59.401,50.886,-0.0098,94.6,8.7,"HH115"
2017-09-02 09:00:00,2017-09-02 09:20:40,NA,59.185,57.636,-0.0098,90.6,21.2,"HH115"
2017-09-02 10:00:00,2017-09-02 10:20:40,NA,59.229,62.447,-0.0106,73.3,16.2,"HH115"
2017-09-02 11:00:00,2017-09-02 11:20:40,NA,59.445,64.888,-0.0106,61,43.7,"HH115"
2017-09-02 12:00:00,2017-09-02 12:20:40,NA,59.83,67.456,-0.0098,55.7,53.7,"HH115"
2017-09-02 13:00:00,2017-09-02 13:20:40,NA,60.39,69.471,-0.0106,51.2,31.2,"HH115"
2017-09-02 14:00:00,2017-09-02 14:20:40,NA,60.991,68.142,-0.0106,51.8,38.7,"HH115"
2017-09-02 15:00:00,2017-09-02 15:20:40,NA,61.376,69.858,-0.0106,52.4,38.7,"HH115"
2017-09-02 16:00:00,2017-09-02 16:20:40,NA,61.72,70.372,-0.0113,51.2,38.7,"HH115"
2017-09-02 17:00:00,2017-09-02 17:20:40,NA,62.019,69.985,-0.0113,51.7,21.2,"HH115"
2017-09-02 18:00:00,2017-09-02 18:20:40,NA,62.233,68.785,-0.0113,52.7,8.7,"HH115"
2017-09-02 19:00:00,2017-09-02 19:20:40,NA,62.362,67.242,-0.012,59.9,1.2,"HH115"
2017-09-02 20:00:00,2017-09-02 20:20:40,NA,62.233,58.885,0.017,88,1.2,"HH115"
2017-09-02 21:00:00,2017-09-02 21:20:40,NA,62.148,59.272,0.0083,95.6,1.2,"HH115"
2017-09-02 22:00:00,2017-09-02 22:20:40,NA,61.977,59.185,0.0061,96.8,1.2,"HH115"
2017-09-02 23:00:00,2017-09-02 23:20:40,NA,61.848,58.712,0.0061,97.5,1.2,"HH115"
2017-09-03 00:00:00,2017-09-03 00:20:40,NA,61.72,57.29,0.0054,97.8,1.2,"HH115"
2017-09-03 01:00:00,2017-09-03 01:20:40,NA,61.59,56.165,0.0046,97.9,1.2,"HH115"
2017-09-03 02:00:00,2017-09-03 02:20:40,NA,61.419,55.472,0.0039,98.3,1.2,"HH115"
2017-09-03 03:00:00,2017-09-03 03:20:40,NA,61.205,54.777,0.0039,98.5,1.2,"HH115"
2017-09-03 04:00:00,2017-09-03 04:20:40,NA,60.991,55.299,0.0039,98.7,1.2,"HH115"
2017-09-03 05:00:00,2017-09-03 05:20:40,NA,60.775,55.038,0.0032,99,1.2,"HH115"
2017-09-03 06:00:00,2017-09-03 06:20:40,NA,60.604,54.648,0.0032,99.1,1.2,"HH115"
2017-09-03 07:00:00,2017-09-03 07:20:40,NA,60.433,55.038,0.0032,99.2,1.2,"HH115"
2017-09-03 08:00:00,2017-09-03 08:20:40,NA,60.303,57.85,0.0032,99.3,6.2,"HH115"
2017-09-03 09:00:00,2017-09-03 09:20:40,NA,60.217,62.962,0.0032,99.4,31.2,"HH115"
2017-09-03 10:00:00,2017-09-03 10:20:40,NA,60.303,67.028,0.0039,96.9,23.7,"HH115"
2017-09-03 11:00:00,2017-09-03 11:20:40,NA,60.647,71.317,0.0032,84,46.2,"HH115"
2017-09-03 12:00:00,2017-09-03 12:20:40,NA,61.119,74.511,0.0032,74.1,46.2,"HH115"
2017-09-03 13:00:00,2017-09-03 13:20:40,NA,61.891,76.114,0.0039,64,31.2,"HH115"
2017-09-03 14:00:00,2017-09-03 14:20:40,NA,62.791,77.029,0.0032,56.2,28.7,"HH115"
2017-09-03 15:00:00,2017-09-03 15:20:40,NA,63.347,77.378,0.0039,54.2,31.2,"HH115"
2017-09-03 16:00:00,2017-09-03 16:20:40,NA,63.689,77.203,0.0032,53,28.7,"HH115"
2017-09-03 17:00:00,2017-09-03 17:20:40,NA,64.033,76.028,0.0032,53.3,13.7,"HH115"
2017-09-03 18:00:00,2017-09-03 18:20:40,NA,64.247,73.99,0.0032,54.9,6.2,"HH115"
2017-09-03 19:00:00,2017-09-03 19:20:40,NA,64.375,70.072,0.0025,64.3,1.2,"HH115"
2017-09-03 20:00:00,2017-09-03 20:20:40,NA,64.418,67.543,0.0025,71.4,1.2,"HH115"
2017-09-03 21:00:00,2017-09-03 21:20:40,NA,64.375,65.701,0.0017,77.4,1.2,"HH115"
2017-09-03 22:00:00,2017-09-03 22:20:40,NA,64.247,64.375,0.0017,81.9,1.2,"HH115"
2017-09-03 23:00:00,2017-09-03 23:20:40,NA,64.033,63.604,0.0017,85.2,1.2,"HH115"
2017-09-04 00:00:00,2017-09-04 00:20:40,NA,63.819,65.102,0.0017,83,1.2,"HH115"
2017-09-04 01:00:00,2017-09-04 01:20:40,NA,63.648,65.53,0.001,78.9,1.2,"HH115"
2017-09-04 02:00:00,2017-09-04 02:20:40,NA,63.518,65.53,0.001,76.7,1.2,"HH115"
2017-09-04 03:00:00,2017-09-04 03:20:40,NA,63.39,63.475,0.001,77.7,1.2,"HH115"
2017-09-04 04:00:00,2017-09-04 04:20:40,NA,63.262,62.704,3e-04,83.2,1.2,"HH115"
2017-09-04 05:00:00,2017-09-04 05:20:40,NA,63.133,65.273,0.001,74.6,1.2,"HH115"
2017-09-04 06:00:00,2017-09-04 06:20:40,NA,63.005,66.13,3e-04,75.4,1.2,"HH115"
2017-09-04 07:00:00,2017-09-04 07:20:40,NA,62.875,65.829,3e-04,72.4,1.2,"HH115"
2017-09-04 08:00:00,2017-09-04 08:20:40,NA,62.834,66.258,3e-04,72,6.2,"HH115"
2017-09-04 09:00:00,2017-09-04 09:20:40,NA,62.791,69.3,3e-04,73.1,21.2,"HH115"
2017-09-04 10:00:00,2017-09-04 10:20:40,NA,62.834,73.213,3e-04,74.9,28.7,"HH115"
2017-09-04 11:00:00,2017-09-04 11:20:40,NA,63.09,77.509,3e-04,74.2,38.7,"HH115"
2017-09-04 12:00:00,2017-09-04 12:20:40,NA,63.518,78.822,3e-04,71.5,48.7,"HH115"
2017-09-04 13:00:00,2017-09-04 13:20:40,NA,64.161,77.945,0.001,73.4,36.2,"HH115"
2017-09-04 14:00:00,2017-09-04 14:20:40,NA,64.845,76.158,0.001,77,13.7,"HH115"
2017-09-04 15:00:00,2017-09-04 15:20:40,NA,65.188,72.093,3e-04,85,8.7,"HH115"
2017-09-04 16:00:00,2017-09-04 16:20:40,NA,65.359,72.912,3e-04,86.4,13.7,"HH115"
2017-09-04 17:00:00,2017-09-04 17:20:40,NA,65.487,72.351,3e-04,81.1,11.2,"HH115"
2017-09-04 18:00:00,2017-09-04 18:20:40,NA,65.53,71.447,3e-04,79.2,6.2,"HH115"
2017-09-04 19:00:00,2017-09-04 19:20:40,NA,65.53,69.386,3e-04,74.9,1.2,"HH115"
2017-09-04 20:00:00,2017-09-04 20:20:40,NA,65.487,67.671,-4e-04,74.8,1.2,"HH115"
2017-09-04 21:00:00,2017-09-04 21:20:40,NA,65.316,64.503,-4e-04,74,1.2,"HH115"
2017-09-04 22:00:00,2017-09-04 22:20:40,NA,65.102,62.362,-0.0011,79.1,1.2,"HH115"
2017-09-04 23:00:00,2017-09-04 23:20:40,NA,64.803,62.191,-0.0011,82.9,1.2,"HH115"
2017-09-05 00:00:00,2017-09-05 00:20:40,NA,64.503,61.419,-0.0011,81.8,1.2,"HH115"
2017-09-05 01:00:00,2017-09-05 01:20:40,NA,64.204,60.346,-0.0018,82.7,1.2,"HH115"
2017-09-05 02:00:00,2017-09-05 02:20:40,NA,63.903,58.971,-0.0018,83.9,1.2,"HH115"
2017-09-05 03:00:00,2017-09-05 03:20:40,NA,63.604,58.325,-0.0018,85.1,1.2,"HH115"
2017-09-05 04:00:00,2017-09-05 04:20:40,NA,63.262,56.728,-0.0018,84.9,1.2,"HH115"
2017-09-05 05:00:00,2017-09-05 05:20:40,NA,62.962,55.299,-0.0018,87,1.2,"HH115"
2017-09-05 06:00:00,2017-09-05 06:20:40,NA,62.661,54.343,-0.0018,87.9,1.2,"HH115"
2017-09-05 07:00:00,2017-09-05 07:20:40,NA,62.319,53.166,-0.0018,89.3,1.2,"HH115"
2017-09-05 08:00:00,2017-09-05 08:20:40,NA,61.977,54.995,-0.0011,88.8,6.2,"HH115"
2017-09-05 09:00:00,2017-09-05 09:20:40,NA,61.677,57.117,-0.0018,84.4,23.7,"HH115"
2017-09-05 10:00:00,2017-09-05 10:20:40,NA,61.506,60.046,-0.0018,79.7,48.7,"HH115"
2017-09-05 11:00:00,2017-09-05 11:20:40,NA,61.419,62.276,-0.0011,73.5,38.7,"HH115"
2017-09-05 12:00:00,2017-09-05 12:20:40,NA,61.462,65.316,-0.0018,68.4,36.2,"HH115"
2017-09-05 13:00:00,2017-09-05 13:20:40,NA,61.761,66.173,-0.0018,59.5,41.2,"HH115"
2017-09-05 14:00:00,2017-09-05 14:20:40,NA,62.191,66.429,-0.0018,56.9,28.7,"HH115"
2017-09-05 15:00:00,2017-09-05 15:20:40,NA,62.362,64.632,-0.0018,56.9,31.2,"HH115"
2017-09-05 16:00:00,2017-09-05 16:20:40,NA,62.447,65.145,-0.0026,55.8,58.7,"HH115"
2017-09-05 17:00:00,2017-09-05 17:20:40,NA,62.447,62.447,-0.0026,58.7,11.2,"HH115"
2017-09-05 18:00:00,2017-09-05 18:20:40,NA,62.362,61.462,-0.0026,59.5,6.2,"HH115"
2017-09-05 19:00:00,2017-09-05 19:20:40,NA,62.191,59.788,-0.0018,60.4,1.2,"HH115"
2017-09-05 20:00:00,2017-09-05 20:20:40,NA,62.019,58.282,-0.0033,64.3,1.2,"HH115"
2017-09-05 21:00:00,2017-09-05 21:20:40,NA,61.761,55.429,-0.0033,70,1.2,"HH115"
2017-09-05 22:00:00,2017-09-05 22:20:40,NA,61.506,54.691,-0.0033,76.8,1.2,"HH115"
2017-09-05 23:00:00,2017-09-05 23:20:40,NA,61.205,54.126,-0.0033,78.3,1.2,"HH115"
2017-09-06 00:00:00,2017-09-06 00:20:40,NA,60.904,53.645,-0.0026,79.3,1.2,"HH115"
2017-09-06 01:00:00,2017-09-06 01:20:40,NA,60.647,51.325,-0.0033,83.2,1.2,"HH115"
2017-09-06 02:00:00,2017-09-06 02:20:40,NA,60.39,50.929,-0.0033,87.6,1.2,"HH115"
2017-09-06 03:00:00,2017-09-06 03:20:40,NA,60.089,49.692,-0.0026,88.9,1.2,"HH115"
2017-09-06 04:00:00,2017-09-06 04:20:40,NA,59.83,48.493,-0.0026,91.4,1.2,"HH115"
2017-09-06 05:00:00,2017-09-06 05:20:40,NA,59.529,48.182,-0.0026,92.4,1.2,"HH115"
2017-09-06 06:00:00,2017-09-06 06:20:40,NA,59.272,48.36,-0.0026,92.5,1.2,"HH115"
2017-09-06 07:00:00,2017-09-06 07:20:40,NA,59.014,48.272,-0.0026,93,1.2,"HH115"
2017-09-06 08:00:00,2017-09-06 08:20:40,NA,58.755,50.488,-0.0026,92.4,18.7,"HH115"
2017-09-06 09:00:00,2017-09-06 09:20:40,NA,58.582,53.908,-0.0026,86.7,8.7,"HH115"
2017-09-06 10:00:00,2017-09-06 10:20:40,NA,58.498,57.031,-0.0026,78.5,26.2,"HH115"
2017-09-06 11:00:00,2017-09-06 11:20:40,NA,58.582,57.979,-0.0026,71,26.2,"HH115"
2017-09-06 12:00:00,2017-09-06 12:20:40,NA,58.755,60.604,-0.0026,65.1,43.7,"HH115"
2017-09-06 13:00:00,2017-09-06 13:20:40,NA,59.099,60.733,-0.0033,60.9,31.2,"HH115"
2017-09-06 14:00:00,2017-09-06 14:20:40,NA,59.529,63.347,-0.0033,58.8,33.7,"HH115"
2017-09-06 15:00:00,2017-09-06 15:20:40,NA,59.745,62.406,-0.0033,58.3,28.7,"HH115"
2017-09-06 16:00:00,2017-09-06 16:20:40,NA,59.916,62.105,-0.004,56.6,43.7,"HH115"
2017-09-06 17:00:00,2017-09-06 17:20:40,NA,60.046,61.29,-0.004,59.1,16.2,"HH115"
2017-09-06 18:00:00,2017-09-06 18:20:40,NA,60.132,61.462,-0.004,63.9,8.7,"HH115"
2017-09-06 19:00:00,2017-09-06 19:20:40,NA,60.132,59.486,-0.0047,65,1.2,"HH115"
2017-09-06 20:00:00,2017-09-06 20:20:40,NA,60.132,56.512,-0.0047,72.2,1.2,"HH115"
2017-09-06 21:00:00,2017-09-06 21:20:40,NA,60.046,53.602,-0.0047,78.9,1.2,"HH115"
2017-09-06 22:00:00,2017-09-06 22:20:40,NA,59.83,52.554,-0.0047,83.7,1.2,"HH115"
2017-09-06 23:00:00,2017-09-06 23:20:40,NA,59.572,52.378,-0.0047,86.8,1.2,"HH115"
2017-09-07 00:00:00,2017-09-07 00:20:40,NA,59.358,51.544,-0.0047,87.8,1.2,"HH115"
2017-09-07 01:00:00,2017-09-07 01:20:40,NA,59.099,50.841,-0.0047,88.8,1.2,"HH115"
2017-09-07 02:00:00,2017-09-07 02:20:40,NA,58.885,49.249,-0.0047,90.9,1.2,"HH115"
2017-09-07 03:00:00,2017-09-07 03:20:40,NA,58.669,49.825,-0.0047,92,1.2,"HH115"
2017-09-07 04:00:00,2017-09-07 04:20:40,NA,58.411,50.092,-0.0047,91.8,1.2,"HH115"
2017-09-07 05:00:00,2017-09-07 05:20:40,NA,58.239,49.959,-0.0047,91.3,1.2,"HH115"
2017-09-07 06:00:00,2017-09-07 06:20:40,NA,58.066,49.561,-0.0047,91.9,1.2,"HH115"
2017-09-07 07:00:00,2017-09-07 07:20:40,NA,57.893,48.938,-0.0047,93.4,1.2,"HH115"
2017-09-07 08:00:00,2017-09-07 08:20:40,NA,57.765,53.559,-0.0055,92.4,16.2,"HH115"
2017-09-07 09:00:00,2017-09-07 09:20:40,NA,57.679,57.679,-0.0047,85,21.2,"HH115"
2017-09-07 10:00:00,2017-09-07 10:20:40,NA,57.807,60.217,-0.0055,77.9,21.2,"HH115"
2017-09-07 11:00:00,2017-09-07 11:20:40,NA,58.023,63.819,-0.0047,69.6,46.2,"HH115"
2017-09-07 12:00:00,2017-09-07 12:20:40,NA,58.325,64.888,-0.0055,63.8,86.2,"HH115"
2017-09-07 13:00:00,2017-09-07 13:20:40,NA,58.755,64.632,-0.0055,60.5,36.2,"HH115"
2017-09-07 14:00:00,2017-09-07 14:20:40,NA,59.229,64.632,-0.0055,60.4,26.2,"HH115"
2017-09-07 15:00:00,2017-09-07 15:20:40,NA,59.529,65.788,-0.0062,58.8,28.7,"HH115"
2017-09-07 16:00:00,2017-09-07 16:20:40,NA,59.745,66.772,-0.0062,54.4,26.2,"HH115"
2017-09-07 17:00:00,2017-09-07 17:20:40,NA,59.916,66.13,-0.0062,49.6,13.7,"HH115"
2017-09-07 18:00:00,2017-09-07 18:20:40,NA,60.046,64.717,-0.0062,50.9,8.7,"HH115"
2017-09-07 19:00:00,2017-09-07 19:20:40,NA,60.132,60.861,-0.0062,57.4,1.2,"HH115"
2017-09-07 20:00:00,2017-09-07 20:20:40,NA,60.132,58.109,-0.0062,67.4,1.2,"HH115"
2017-09-07 21:00:00,2017-09-07 21:20:40,NA,60.003,57.16,-0.0062,72.2,1.2,"HH115"
2017-09-07 22:00:00,2017-09-07 22:20:40,NA,59.83,57.936,-0.0047,74.5,1.2,"HH115"
2017-09-07 23:00:00,2017-09-07 23:20:40,NA,59.659,57.247,-0.0055,75.7,1.2,"HH115"
2017-09-08 00:00:00,2017-09-08 00:20:40,NA,59.529,55.515,-0.0062,79.5,1.2,"HH115"
2017-09-08 01:00:00,2017-09-08 01:20:40,NA,59.401,54.777,-0.0062,81.7,1.2,"HH115"
2017-09-08 02:00:00,2017-09-08 02:20:40,NA,59.272,55.647,-0.0069,82,1.2,"HH115"
2017-09-08 03:00:00,2017-09-08 03:20:40,NA,59.099,55.299,-0.0069,79.9,1.2,"HH115"
2017-09-08 04:00:00,2017-09-08 04:20:40,NA,58.971,55.299,-0.0069,82.9,1.2,"HH115"
2017-09-08 05:00:00,2017-09-08 05:20:40,NA,58.885,55.386,-0.0076,84.8,1.2,"HH115"
2017-09-08 06:00:00,2017-09-08 06:20:40,NA,58.798,55.647,-0.0069,84.9,1.2,"HH115"
2017-09-08 07:00:00,2017-09-08 07:20:40,NA,58.755,55.386,-0.0076,86.5,1.2,"HH115"
2017-09-08 08:00:00,2017-09-08 08:20:40,NA,58.712,56.728,-0.0076,87.2,6.2,"HH115"
2017-09-08 09:00:00,2017-09-08 09:20:40,NA,58.669,61.205,-0.0076,81.6,13.7,"HH115"
2017-09-08 10:00:00,2017-09-08 10:20:40,NA,58.755,65.059,-0.0069,70.1,23.7,"HH115"
2017-09-08 11:00:00,2017-09-08 11:20:40,NA,59.014,67.627,-0.0076,60.1,31.2,"HH115"
2017-09-08 12:00:00,2017-09-08 12:20:40,NA,59.315,67.586,-0.0076,59.5,41.2,"HH115"
2017-09-08 13:00:00,2017-09-08 13:20:40,NA,59.702,67.158,-0.0076,71.1,41.2,"HH115"
2017-09-08 14:00:00,2017-09-08 14:20:40,NA,60.046,65.829,-0.0076,74.6,38.7,"HH115"
2017-09-08 15:00:00,2017-09-08 15:20:40,NA,60.39,66.558,-0.0084,72.5,38.7,"HH115"
