"Date_Check","Time5","Time6","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2018-08-01 00:00:00,2018-08-01 00:09:23,NA,66.943,63.604,0.1695,90.9,1.2,"HH115"
2018-08-01 01:00:00,2018-08-01 01:09:23,NA,66.643,62.276,0.1695,92.6,1.2,"HH115"
2018-08-01 02:00:00,2018-08-01 02:09:23,NA,66.385,62.319,0.1688,94.1,1.2,"HH115"
2018-08-01 03:00:00,2018-08-01 03:09:23,NA,66.13,61.376,0.1688,94.8,1.2,"HH115"
2018-08-01 04:00:00,2018-08-01 04:09:23,NA,65.916,60.775,0.1688,95.6,1.2,"HH115"
2018-08-01 05:00:00,2018-08-01 05:09:23,NA,65.658,60.818,0.1688,96.2,1.2,"HH115"
2018-08-01 06:00:00,2018-08-01 06:09:23,NA,65.403,60.26,0.1681,96.5,1.2,"HH115"
2018-08-01 07:00:00,2018-08-01 07:09:23,NA,65.188,60.991,0.1681,96.6,1.2,"HH115"
2018-08-01 08:00:00,2018-08-01 08:09:23,NA,65.017,63.903,0.1681,95.8,3.7,"HH115"
2018-08-01 09:00:00,2018-08-01 09:09:23,NA,65.017,70.329,0.1681,90.5,31.2,"HH115"
2018-08-01 10:00:00,2018-08-01 10:09:23,NA,65.273,71.834,0.1681,81.2,116.2,"HH115"
2018-08-01 11:00:00,2018-08-01 11:09:23,NA,65.701,74.77,0.1681,76.8,46.2,"HH115"
2018-08-01 12:00:00,2018-08-01 12:09:23,NA,66.173,78.645,0.1681,71,101.2,"HH115"
2018-08-01 13:00:00,2018-08-01 13:09:23,NA,66.772,77.99,0.1681,68.3,111.2,"HH115"
2018-08-01 14:00:00,2018-08-01 14:09:23,NA,67.285,79.788,0.1681,66.7,36.2,"HH115"
2018-08-01 15:00:00,2018-08-01 15:09:23,NA,67.798,77.421,0.1681,63.1,31.2,"HH115"
2018-08-01 16:00:00,2018-08-01 16:09:23,NA,68.013,65.403,0.1717,84.2,3.7,"HH115"
2018-08-01 17:00:00,2018-08-01 17:09:23,NA,67.714,70.887,0.171,95.1,48.7,"HH115"
2018-08-01 18:00:00,2018-08-01 18:09:23,NA,67.627,63.475,0.1942,95.7,8.7,"HH115"
2018-08-01 19:00:00,2018-08-01 19:09:23,NA,67.413,65.745,0.1964,96.4,3.7,"HH115"
2018-08-01 20:00:00,2018-08-01 20:09:23,NA,67.158,66.857,0.1964,97.4,1.2,"HH115"
2018-08-01 21:00:00,2018-08-01 21:09:23,NA,67.028,66.985,0.1964,98,1.2,"HH115"
2018-08-01 22:00:00,2018-08-01 22:09:23,NA,66.943,67.114,0.1964,98.4,1.2,"HH115"
2018-08-01 23:00:00,2018-08-01 23:09:23,NA,66.857,66.729,0.1957,98.7,1.2,"HH115"
2018-08-02 00:00:00,2018-08-02 00:09:23,NA,66.814,66.686,0.1949,99,1.2,"HH115"
2018-08-02 01:00:00,2018-08-02 01:09:23,NA,66.729,66.558,0.1942,99.2,1.2,"HH115"
2018-08-02 02:00:00,2018-08-02 02:09:23,NA,66.686,66.258,0.1942,99.4,1.2,"HH115"
2018-08-02 03:00:00,2018-08-02 03:09:23,NA,66.643,65.574,0.1935,99.6,1.2,"HH115"
2018-08-02 04:00:00,2018-08-02 04:09:23,NA,66.558,65.444,0.1935,99.7,1.2,"HH115"
2018-08-02 05:00:00,2018-08-02 05:09:23,NA,66.472,64.375,0.1928,99.9,1.2,"HH115"
2018-08-02 06:00:00,2018-08-02 06:09:23,NA,66.344,64.247,0.1928,99.9,1.2,"HH115"
2018-08-02 07:00:00,2018-08-02 07:09:23,NA,66.214,64.888,0.192,100,3.7,"HH115"
2018-08-02 08:00:00,2018-08-02 08:09:23,NA,66.13,65.615,0.192,100,6.2,"HH115"
2018-08-02 09:00:00,2018-08-02 09:09:23,NA,66.13,68.785,0.1913,99.5,13.7,"HH115"
2018-08-02 10:00:00,2018-08-02 10:09:23,NA,66.258,72.437,0.1913,92.8,71.2,"HH115"
2018-08-02 11:00:00,2018-08-02 11:09:23,NA,66.6,75.117,0.1913,85.5,43.7,"HH115"
2018-08-02 12:00:00,2018-08-02 12:09:23,NA,67.114,76.811,0.1906,79.1,136.2,"HH115"
2018-08-02 13:00:00,2018-08-02 13:09:23,NA,67.671,77.77,0.1906,77.2,231.2,"HH115"
2018-08-02 14:00:00,2018-08-02 14:09:23,NA,68.313,76.464,0.1899,74.8,66.2,"HH115"
2018-08-02 15:00:00,2018-08-02 15:09:23,NA,68.742,76.899,0.1891,80.1,31.2,"HH115"
2018-08-02 16:00:00,2018-08-02 16:09:23,NA,69.042,77.203,0.1884,78.4,58.7,"HH115"
2018-08-02 17:00:00,2018-08-02 17:09:23,NA,69.256,77.596,0.1884,75.8,26.2,"HH115"
2018-08-02 18:00:00,2018-08-02 18:09:23,NA,69.427,77.117,0.1877,71.1,11.2,"HH115"
2018-08-02 19:00:00,2018-08-02 19:09:23,NA,69.427,75.333,0.187,69.9,3.7,"HH115"
2018-08-02 20:00:00,2018-08-02 20:09:23,NA,69.386,72.307,0.1862,75,1.2,"HH115"
2018-08-02 21:00:00,2018-08-02 21:09:23,NA,69.256,69.386,0.1855,82.7,1.2,"HH115"
