"Date_Check","Time5","Time6","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2017-11-01 00:00:00,2017-11-01 00:19:12,NA,44.445,35.006,0.2146,78.6,1.2,"HH115"
2017-11-01 01:00:00,2017-11-01 01:19:12,NA,44.355,34.957,0.2138,75.1,1.2,"HH115"
2017-11-01 02:00:00,2017-11-01 02:19:12,NA,44.31,34.907,0.2138,75.3,1.2,"HH115"
2017-11-01 03:00:00,2017-11-01 03:19:12,NA,44.263,34.81,0.2138,75.7,1.2,"HH115"
2017-11-01 04:00:00,2017-11-01 04:19:12,NA,44.218,34.761,0.2138,76.3,1.2,"HH115"
2017-11-01 05:00:00,2017-11-01 05:19:12,NA,44.173,34.907,0.2138,77.8,1.2,"HH115"
2017-11-01 06:00:00,2017-11-01 06:19:12,NA,44.082,35.638,0.2138,77.9,1.2,"HH115"
2017-11-01 07:00:00,2017-11-01 07:19:12,NA,44.037,35.733,0.2138,77.4,1.2,"HH115"
2017-11-01 08:00:00,2017-11-01 08:19:12,NA,43.99,36.891,0.2131,77,1.2,"HH115"
2017-11-01 09:00:00,2017-11-01 09:19:12,NA,43.99,37.798,0.2138,77,13.7,"HH115"
2017-11-01 10:00:00,2017-11-01 10:19:12,NA,44.037,40.298,0.2138,77.2,31.2,"HH115"
2017-11-01 11:00:00,2017-11-01 11:19:12,NA,44.127,41.137,0.2131,76,48.7,"HH115"
2017-11-01 12:00:00,2017-11-01 12:19:12,NA,44.31,41.322,0.2138,77.1,36.2,"HH115"
2017-11-01 13:00:00,2017-11-01 13:19:12,NA,44.492,41.832,0.2131,78,46.2,"HH115"
2017-11-01 14:00:00,2017-11-01 14:19:12,NA,44.627,42.017,0.2131,78.7,18.7,"HH115"
2017-11-01 15:00:00,2017-11-01 15:19:12,NA,44.764,42.064,0.2138,78.3,18.7,"HH115"
2017-11-01 16:00:00,2017-11-01 16:19:12,NA,44.856,40.111,0.2138,81.3,6.2,"HH115"
2017-11-01 17:00:00,2017-11-01 17:19:12,NA,44.901,39.596,0.2146,91,1.2,"HH115"
2017-11-01 18:00:00,2017-11-01 18:19:12,NA,44.946,39.596,0.2175,93.8,1.2,"HH115"
2017-11-01 19:00:00,2017-11-01 19:19:12,NA,44.946,39.877,0.224,95.4,1.2,"HH115"
2017-11-01 20:00:00,2017-11-01 20:19:12,NA,44.901,40.345,0.2327,96.4,1.2,"HH115"
2017-11-01 21:00:00,2017-11-01 21:19:12,NA,44.946,40.858,0.2349,96.6,1.2,"HH115"
2017-11-01 22:00:00,2017-11-01 22:19:12,NA,44.991,41.416,0.2342,97,1.2,"HH115"
2017-11-01 23:00:00,2017-11-01 23:19:12,NA,45.036,42.202,0.2342,97.5,1.2,"HH115"
2017-11-02 00:00:00,2017-11-02 00:19:12,NA,45.127,43.167,0.2334,97.8,1.2,"HH115"
2017-11-02 01:00:00,2017-11-02 01:19:12,NA,45.262,43.671,0.2334,98.1,1.2,"HH115"
2017-11-02 02:00:00,2017-11-02 02:19:12,NA,45.354,44.127,0.2327,98.4,1.2,"HH115"
2017-11-02 03:00:00,2017-11-02 03:19:12,NA,45.489,44.445,0.2327,98.6,1.2,"HH115"
2017-11-02 04:00:00,2017-11-02 04:19:12,NA,45.624,45.217,0.2327,98.8,1.2,"HH115"
2017-11-02 05:00:00,2017-11-02 05:19:12,NA,45.761,45.172,0.2327,99,1.2,"HH115"
2017-11-02 06:00:00,2017-11-02 06:19:12,NA,45.896,45.354,0.2327,99.1,1.2,"HH115"
2017-11-02 07:00:00,2017-11-02 07:19:12,NA,46.031,45.714,0.232,99.3,1.2,"HH115"
2017-11-02 08:00:00,2017-11-02 08:19:12,NA,46.166,46.211,0.232,99.5,1.2,"HH115"
2017-11-02 09:00:00,2017-11-02 09:19:12,NA,46.301,46.076,0.2313,99.5,3.7,"HH115"
