"Date_Check","Time5","Time6","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2018-02-01 00:00:00,2018-01-31 23:58:23,NA,33.633,35.2,0.1579,74.4,1.2,"HH115"
2018-02-01 01:00:00,2018-02-01 00:58:23,NA,33.584,33.584,0.1586,73.8,1.2,"HH115"
2018-02-01 02:00:00,2018-02-01 01:58:23,NA,33.584,32.443,0.1586,76.4,1.2,"HH115"
2018-02-01 03:00:00,2018-02-01 02:58:23,NA,33.633,31.037,0.1594,77.9,1.2,"HH115"
2018-02-01 04:00:00,2018-02-01 03:58:23,NA,33.584,30.987,0.1594,79,1.2,"HH115"
2018-02-01 05:00:00,2018-02-01 04:58:23,NA,33.633,31.188,0.1594,80,1.2,"HH115"
2018-02-01 06:00:00,2018-02-01 05:58:23,NA,33.633,30.429,0.1594,81.9,1.2,"HH115"
2018-02-01 07:00:00,2018-02-01 06:58:23,NA,33.633,30.328,0.1594,83.4,1.2,"HH115"
2018-02-01 08:00:00,2018-02-01 07:58:23,NA,33.584,27.225,0.1579,82.7,1.2,"HH115"
2018-02-01 09:00:00,2018-02-01 08:58:23,NA,33.584,25.632,0.1579,80.3,3.7,"HH115"
2018-02-01 10:00:00,2018-02-01 09:58:23,NA,33.584,21.126,0.1579,71.7,46.2,"HH115"
2018-02-01 11:00:00,2018-02-01 10:58:23,NA,33.584,20.842,0.1586,63.8,173.7,"HH115"
2018-02-01 12:00:00,2018-02-01 11:58:23,NA,33.584,18.716,0.1579,59.7,258.7,"HH115"
2018-02-01 13:00:00,2018-02-01 12:58:23,NA,33.584,18.716,0.1572,53.5,333.7,"HH115"
2018-02-01 14:00:00,2018-02-01 13:58:23,NA,33.584,19.18,0.1572,47.1,388.7,"HH115"
2018-02-01 15:00:00,2018-02-01 14:58:23,NA,33.584,17.303,0.1557,46.3,193.7,"HH115"
2018-02-01 16:00:00,2018-02-01 15:58:23,NA,33.584,16.648,0.1557,47,221.2,"HH115"
2018-02-01 17:00:00,2018-02-01 16:58:23,NA,33.534,15.742,0.155,49.4,108.7,"HH115"
2018-02-01 18:00:00,2018-02-01 17:58:23,NA,33.534,13.46,0.1557,50.7,33.7,"HH115"
2018-02-01 19:00:00,2018-02-01 18:58:23,NA,33.485,11.743,0.155,53.8,1.2,"HH115"
2018-02-01 20:00:00,2018-02-01 19:58:23,NA,33.485,11.097,0.155,55.7,1.2,"HH115"
2018-02-01 21:00:00,2018-02-01 20:58:23,NA,33.435,10.706,0.1543,56,1.2,"HH115"
2018-02-01 22:00:00,2018-02-01 21:58:23,NA,33.435,10.575,0.1543,55.8,1.2,"HH115"
2018-02-01 23:00:00,2018-02-01 22:58:23,NA,33.435,9.518,0.1535,56,1.2,"HH115"
2018-02-02 00:00:00,2018-02-01 23:58:23,NA,33.386,8.578,0.1528,58.7,1.2,"HH115"
2018-02-02 01:00:00,2018-02-02 00:58:23,NA,33.386,7.21,0.1514,59.3,1.2,"HH115"
2018-02-02 02:00:00,2018-02-02 01:58:23,NA,33.386,5.742,0.1506,59.2,1.2,"HH115"
2018-02-02 03:00:00,2018-02-02 02:58:23,NA,33.336,4.597,0.1492,61.6,1.2,"HH115"
2018-02-02 04:00:00,2018-02-02 03:58:23,NA,33.336,4.089,0.1448,63.6,1.2,"HH115"
2018-02-02 05:00:00,2018-02-02 04:58:23,NA,33.287,3.43,0.1412,65.8,1.2,"HH115"
2018-02-02 06:00:00,2018-02-02 05:58:23,NA,33.237,3.209,0.1354,67.7,1.2,"HH115"
2018-02-02 07:00:00,2018-02-02 06:58:23,NA,33.237,2.912,0.131,68.2,1.2,"HH115"
2018-02-02 08:00:00,2018-02-02 07:58:23,NA,33.237,2.838,0.1267,69.3,1.2,"HH115"
2018-02-02 09:00:00,2018-02-02 08:58:23,NA,33.188,3.209,0.123,71.7,11.2,"HH115"
2018-02-02 10:00:00,2018-02-02 09:58:23,NA,33.188,5.954,0.1209,70.7,63.7,"HH115"
2018-02-02 11:00:00,2018-02-02 10:58:23,NA,33.188,8.78,0.1187,64.2,188.7,"HH115"
2018-02-02 12:00:00,2018-02-02 11:58:23,NA,33.138,12.639,0.1172,57.5,313.7,"HH115"
2018-02-02 13:00:00,2018-02-02 12:58:23,NA,33.138,14.394,0.115,52.7,348.7,"HH115"
2018-02-02 14:00:00,2018-02-02 13:58:23,NA,33.138,16.527,0.1143,49.5,366.2,"HH115"
