"Plot Title: Rollinson_B5 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","PAR, uE()","Temp, °F()","RH, %()"
1,06/15/17 02:25:37 PM,64.845,0.1456,241.2,81.730,61.900
2,06/15/17 03:25:37 PM,64.803,0.1485,48.7,82.886,59.300
3,06/15/17 04:25:37 PM,64.974,0.1506,11.2,82.130,59.500
4,06/15/17 05:25:37 PM,65.230,0.1528,21.2,81.775,57.800
5,06/15/17 06:25:37 PM,65.487,0.1535,8.7,80.361,53.700
6,06/15/17 07:25:37 PM,65.615,0.1550,1.2,79.216,55.100
7,06/15/17 08:25:37 PM,65.701,0.1557,1.2,76.375,54.300
8,06/15/17 09:25:37 PM,65.701,0.1564,1.2,70.372,70.100
9,06/15/17 10:25:37 PM,65.658,0.1572,1.2,68.871,82.200
10,06/15/17 11:25:37 PM,65.574,0.1572,1.2,67.242,83.700
11,06/16/17 12:25:37 AM,65.444,0.1579,1.2,75.029,80.500
12,06/16/17 01:25:37 AM,65.316,0.1586,1.2,67.372,70.900
13,06/16/17 02:25:37 AM,65.188,0.1594,-888.9,64.033,91.000
14,06/16/17 03:25:37 AM,65.017,0.1586,-888.9,64.888,94.700
15,06/16/17 04:25:37 AM,64.845,0.1594,-888.9,63.518,94.600
16,06/16/17 05:25:37 AM,64.632,0.1586,-888.9,64.546,94.600
17,06/16/17 06:25:37 AM,64.459,0.1594,-888.9,64.546,92.400
18,06/16/17 07:25:37 AM,64.332,0.1579,-888.9,63.775,96.400
19,06/16/17 08:25:37 AM,64.161,0.1572,-888.9,65.059,97.200
20,06/16/17 09:25:37 AM,64.074,0.1579,-888.9,66.943,96.200
21,06/16/17 10:25:37 AM,63.990,0.1586,-888.9,67.842,96.900
22,06/16/17 11:25:37 AM,63.990,0.1586,-888.9,70.115,96.100
23,06/16/17 12:25:37 PM,64.033,0.1594,-888.9,74.250,88.200
24,06/16/17 01:25:37 PM,64.161,0.1608,-888.9,75.898,76.200
25,06/16/17 02:25:37 PM,64.375,0.1608,-888.9,77.859,72.700
26,06/16/17 03:25:37 PM,64.632,0.1615,-888.9,79.480,69.600
27,06/16/17 04:25:37 PM,64.888,0.1623,-888.9,79.612,66.600
28,06/16/17 05:25:37 PM,65.145,0.1637,-888.9,79.612,66.700
29,06/16/17 06:25:37 PM,65.359,0.1644,-888.9,78.251,65.800
30,06/16/17 07:25:37 PM,65.530,0.1644,-888.9,77.902,66.700
31,06/16/17 08:25:37 PM,65.658,0.1644,-888.9,76.071,66.300
32,06/16/17 09:25:37 PM,65.701,0.1652,-888.9,73.299,80.000
33,06/16/17 10:25:37 PM,65.745,0.1644,-888.9,71.834,85.300
34,06/16/17 11:25:37 PM,65.745,0.1652,-888.9,72.955,85.600
35,06/17/17 12:25:37 AM,65.701,0.1652,-888.9,73.083,83.500
36,06/17/17 01:25:37 AM,65.658,0.1644,-888.9,73.602,84.400
37,06/17/17 02:25:37 AM,65.615,0.1652,-888.9,74.467,85.200
38,06/17/17 03:25:37 AM,65.615,0.1652,-888.9,74.338,84.800
39,06/17/17 04:25:37 AM,65.615,0.1652,-888.9,72.136,84.300
40,06/17/17 05:25:37 AM,65.615,0.1652,-888.9,70.974,90.100
41,06/17/17 06:25:37 AM,65.574,0.1659,-888.9,69.557,94.400
42,06/17/17 07:25:37 AM,65.530,0.1652,-888.9,70.887,94.500
43,06/17/17 08:25:37 AM,65.487,0.1652,-888.9,72.523,93.000
44,06/17/17 09:25:37 AM,65.444,0.1652,-888.9,75.681,87.800
45,06/17/17 10:25:37 AM,65.487,0.1659,-888.9,77.203,82.400
46,06/17/17 11:25:37 AM,65.574,0.1659,-888.9,78.602,79.100
47,06/17/17 12:25:37 PM,65.701,0.1659,-888.9,78.996,77.400
48,06/17/17 01:25:37 PM,65.872,0.1666,-888.9,79.743,75.000
49,06/17/17 02:25:37 PM,66.043,0.1666,-888.9,80.139,76.100
50,06/17/17 03:25:37 PM,66.258,0.1666,-888.9,78.165,78.800
51,06/17/17 04:25:37 PM,66.385,0.1666,-888.9,75.942,82.000
52,06/17/17 05:25:37 PM,66.515,0.1666,-888.9,72.567,90.500
53,06/17/17 06:25:37 PM,66.600,0.1666,-888.9,72.437,89.000
54,06/17/17 07:25:37 PM,66.600,0.1666,-888.9,72.955,89.100
55,06/17/17 08:25:37 PM,66.558,0.1666,-888.9,71.877,90.200
56,06/17/17 09:25:37 PM,66.472,0.1666,-888.9,70.887,93.400
57,06/17/17 10:25:37 PM,66.429,0.1666,-888.9,70.759,97.500
58,06/17/17 11:25:37 PM,66.344,0.1659,-888.9,71.361,98.200
59,06/18/17 12:25:37 AM,66.301,0.1659,-888.9,71.231,98.300
60,06/18/17 01:25:37 AM,66.258,0.1659,-888.9,70.630,98.000
61,06/18/17 02:25:37 AM,66.214,0.1659,-888.9,70.329,98.200
62,06/18/17 03:25:37 AM,66.130,0.1666,-888.9,70.459,98.700
63,06/18/17 04:25:37 AM,66.087,0.1659,-888.9,70.543,98.600
64,06/18/17 05:25:37 AM,66.043,0.1659,-888.9,70.286,98.100
65,06/18/17 06:25:37 AM,66.000,0.1659,-888.9,69.771,97.700
66,06/18/17 07:25:37 AM,65.916,0.1666,-888.9,68.913,95.000
67,06/18/17 08:25:37 AM,65.872,0.1666,-888.9,69.427,88.800
68,06/18/17 09:25:37 AM,65.788,0.1666,-888.9,70.072,83.300
69,06/18/17 10:25:37 AM,65.745,0.1666,-888.9,71.361,77.900
70,06/18/17 11:25:37 AM,65.658,0.1666,-888.9,72.394,72.400
71,06/18/17 12:25:37 PM,65.658,0.1673,-888.9,72.912,66.200
72,06/18/17 01:25:37 PM,65.615,0.1666,-888.9,73.774,65.400
73,06/18/17 02:25:37 PM,65.615,0.1666,-888.9,74.206,64.500
74,06/18/17 03:25:37 PM,65.615,0.1666,-888.9,74.250,61.200
75,06/18/17 04:25:37 PM,65.658,0.1666,-888.9,73.904,61.300
76,06/18/17 05:25:37 PM,65.658,0.1666,-888.9,72.136,58.900
77,06/18/17 06:25:37 PM,65.615,0.1666,-888.9,72.050,63.500
78,06/18/17 07:25:37 PM,65.615,0.1666,-888.9,71.361,65.900
79,06/18/17 08:25:37 PM,65.530,0.1666,-888.9,70.372,69.100
80,06/18/17 09:25:37 PM,65.487,0.1666,-888.9,70.115,69.200
81,06/18/17 10:25:37 PM,65.403,0.1659,-888.9,67.413,72.200
82,06/18/17 11:25:37 PM,65.316,0.1666,-888.9,66.900,72.600
83,06/19/17 12:25:37 AM,65.188,0.1659,-888.9,66.130,72.200
84,06/19/17 01:25:37 AM,65.017,0.1659,-888.9,65.872,74.800
85,06/19/17 02:25:37 AM,64.845,0.1659,-888.9,63.561,79.200
86,06/19/17 03:25:37 AM,64.674,0.1659,-888.9,61.333,84.900
87,06/19/17 04:25:37 AM,64.503,0.1659,-888.9,60.217,88.900
88,06/19/17 05:25:37 AM,64.332,0.1652,-888.9,59.056,91.400
89,06/19/17 06:25:37 AM,64.117,0.1652,-888.9,60.433,91.900
90,06/19/17 07:25:37 AM,63.903,0.1652,-888.9,63.689,89.400
91,06/19/17 08:25:37 AM,63.775,0.1652,-888.9,65.444,81.600
92,06/19/17 09:25:37 AM,63.689,0.1644,-888.9,67.928,80.000
93,06/19/17 10:25:37 AM,63.689,0.1644,-888.9,71.146,70.600
94,06/19/17 11:25:37 AM,63.775,0.1644,-888.9,72.567,63.000
95,06/19/17 12:25:37 PM,63.862,0.1652,-888.9,71.877,60.100
