"","Date_Check","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp","PlotName","Date_Time"
"1",2017-07-01 00:00:01,NA,NA,NA,NA,NA,NA,NA
"2",2017-07-01 01:00:01,NA,NA,NA,NA,NA,NA,NA
"3",2017-07-01 02:00:01,NA,NA,NA,NA,NA,NA,NA
"4",2017-07-01 03:00:01,NA,NA,NA,NA,NA,NA,NA
"5",2017-07-01 04:00:01,NA,NA,NA,NA,NA,NA,NA
"6",2017-07-01 05:00:01,NA,NA,NA,NA,NA,NA,NA
"7",2017-07-01 06:00:01,NA,NA,NA,NA,NA,NA,NA
"8",2017-07-01 07:00:01,NA,NA,NA,NA,NA,NA,NA
"9",2017-07-01 08:00:01,NA,NA,NA,NA,NA,NA,NA
"10",2017-07-01 09:00:01,NA,NA,NA,NA,NA,NA,NA
"11",2017-07-01 10:00:01,NA,NA,NA,NA,NA,NA,NA
"12",2017-07-01 11:00:01,NA,NA,NA,NA,NA,NA,NA
"13",2017-07-01 12:00:01,NA,NA,NA,NA,NA,NA,NA
"14",2017-07-01 13:00:01,NA,NA,NA,NA,NA,NA,NA
"15",2017-07-01 14:00:01,NA,NA,NA,NA,NA,NA,NA
"16",2017-07-01 15:00:01,NA,NA,NA,NA,NA,NA,NA
"17",2017-07-01 16:00:01,NA,NA,NA,NA,NA,NA,NA
"18",2017-07-01 17:00:01,NA,NA,NA,NA,NA,NA,NA
"19",2017-07-01 18:00:01,NA,NA,NA,NA,NA,NA,NA
"20",2017-07-01 19:00:01,NA,NA,NA,NA,NA,NA,NA
"21",2017-07-01 20:00:01,NA,NA,NA,NA,NA,NA,NA
"22",2017-07-01 21:00:01,NA,NA,NA,NA,NA,NA,NA
"23",2017-07-01 22:00:01,NA,NA,NA,NA,NA,NA,NA
"24",2017-07-01 23:00:01,NA,NA,NA,NA,NA,NA,NA
"25",2017-07-02 00:00:01,NA,NA,NA,NA,NA,NA,NA
"26",2017-07-02 01:00:01,NA,NA,NA,NA,NA,NA,NA
"27",2017-07-02 02:00:01,NA,NA,NA,NA,NA,NA,NA
"28",2017-07-02 03:00:01,NA,NA,NA,NA,NA,NA,NA
"29",2017-07-02 04:00:01,NA,NA,NA,NA,NA,NA,NA
"30",2017-07-02 05:00:01,NA,NA,NA,NA,NA,NA,NA
"31",2017-07-02 06:00:01,NA,NA,NA,NA,NA,NA,NA
"32",2017-07-02 07:00:01,NA,NA,NA,NA,NA,NA,NA
"33",2017-07-02 08:00:01,NA,NA,NA,NA,NA,NA,NA
"34",2017-07-02 09:00:01,NA,NA,NA,NA,NA,NA,NA
