"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
79,01/14/19 05:33:43 PM,33.732,0.3257,3.7,25.417,88.200
80,01/14/19 06:33:43 PM,33.780,0.3257,1.2,24.987,88.800
81,01/14/19 07:33:43 PM,33.780,0.3264,1.2,24.010,90.300
82,01/14/19 08:33:43 PM,33.780,0.3264,1.2,22.968,91.400
83,01/14/19 09:33:43 PM,33.780,0.3264,1.2,23.299,92.400
84,01/14/19 10:33:43 PM,33.780,0.3264,1.2,24.010,93.100
85,01/14/19 11:33:43 PM,33.780,0.3264,1.2,24.228,92.900
86,01/15/19 12:33:43 AM,33.780,0.3264,1.2,24.228,94.400
87,01/15/19 01:33:43 AM,33.780,0.3264,1.2,24.228,94.900
88,01/15/19 02:33:43 AM,33.780,0.3264,1.2,24.228,94.700
89,01/15/19 03:33:43 AM,33.831,0.3264,1.2,24.499,94.700
90,01/15/19 04:33:43 AM,33.831,0.3264,1.2,24.609,94.600
91,01/15/19 05:33:43 AM,33.831,0.3271,1.2,24.717,94.100
92,01/15/19 06:33:43 AM,33.831,0.3271,1.2,24.879,93.800
93,01/15/19 07:33:43 AM,33.831,0.3271,1.2,25.095,93.700
94,01/15/19 08:33:43 AM,33.831,0.3271,8.7,25.578,93.100
95,01/15/19 09:33:43 AM,33.879,0.3271,38.7,26.271,92.300
96,01/15/19 10:33:43 AM,33.879,0.3271,73.7,26.802,91.100
97,01/15/19 11:33:43 AM,33.879,0.3271,96.2,27.064,90.300
98,01/15/19 12:33:43 PM,33.879,0.3279,76.2,27.223,89.700
99,01/15/19 01:33:43 PM,33.879,0.3279,66.2,27.327,90.500
100,01/15/19 02:33:43 PM,33.879,0.3279,66.2,27.642,90.300
101,01/15/19 03:33:43 PM,33.879,0.3279,36.2,27.590,91.800
102,01/15/19 04:33:43 PM,33.928,0.3286,13.7,27.064,92.300
103,01/15/19 05:33:43 PM,33.928,0.3286,1.2,26.802,94.000
104,01/15/19 06:33:43 PM,33.928,0.3286,1.2,27.433,94.800
105,01/15/19 07:33:43 PM,33.928,0.3286,1.2,28.112,95.800
106,01/15/19 08:33:43 PM,33.928,0.3293,1.2,28.684,96.700
107,01/15/19 09:33:43 PM,33.928,0.3293,1.2,29.509,97.400
108,01/15/19 10:33:43 PM,33.978,0.3300,1.2,30.225,97.800
109,01/15/19 11:33:43 PM,33.978,0.3300,1.2,31.138,98.100
110,01/16/19 12:33:43 AM,33.978,0.3300,1.2,31.892,98.300
111,01/16/19 01:33:43 AM,33.978,0.3300,1.2,32.342,98.300
112,01/16/19 02:33:43 AM,33.978,0.3300,1.2,32.392,98.200
113,01/16/19 03:33:43 AM,34.027,0.3308,1.2,32.243,98.200
114,01/16/19 04:33:43 AM,34.027,0.3315,1.2,32.293,98.000
115,01/16/19 05:33:43 AM,34.027,0.3315,1.2,32.142,95.600
116,01/16/19 06:33:43 AM,34.075,0.3322,1.2,31.942,90.000
117,01/16/19 07:33:43 AM,34.075,0.3329,1.2,31.892,85.800
118,01/16/19 08:33:43 AM,34.075,0.3337,21.2,31.289,82.100
119,01/16/19 09:33:43 AM,34.124,0.3337,66.2,30.834,80.100
